This file contains data on GBBC bird observations from Ohio!
order,species,lat,year,month,day
Passeriformes,Cyanocitta cristata,40.37566,2007,02,18
Passeriformes,Haemorhous purpureus,41.7023,2002,02,15
Accipitriformes,Accipiter striatus,39.07457,2007,02,18
Passeriformes,Passer domesticus,41.544186,1999,02,21
Passeriformes,Poecile carolinensis,39.31411,2009,02,14
Passeriformes,Cyanocitta cristata,41.24006,2007,02,16
Passeriformes,Baeolophus bicolor,41.628948,2008,02,15
Passeriformes,Cardinalis cardinalis,40.28425,2004,02,15
Columbiformes,Zenaida macroura,39.26749,2008,02,18
Piciformes,Melanerpes carolinus,39.833553,2004,02,15
Passeriformes,Cardinalis cardinalis,40.1049,2000,02,21
Passeriformes,Mimus polyglottos,39.95501,2002,02,17
Passeriformes,Cardinalis cardinalis,41.035397,2008,02,18
Passeriformes,Cyanocitta cristata,39.71305,1999,02,21
Passeriformes,Junco hyemalis,40.84642,2009,02,14
Passeriformes,Sitta carolinensis,39.407715,2001,02,18
Passeriformes,Cardinalis cardinalis,40.07866,2000,02,19
Piciformes,Picoides villosus,41.23252,2009,02,15
Passeriformes,Poecile carolinensis,39.166683,2001,02,18
Passeriformes,Thryothorus ludovicianus,39.49804,2005,02,20
Passeriformes,Melospiza melodia,40.80728,1999,02,19
Passeriformes,Cyanocitta cristata,41.50135,2003,02,01
Passeriformes,Spinus pinus,41.31175,2009,02,13
Passeriformes,Haemorhous mexicanus,39.266182,2007,02,16
Passeriformes,Junco hyemalis,41.42299,2008,02,16
Passeriformes,Sitta carolinensis,40.44251,2005,02,19
Passeriformes,Spizelloides arborea,41.3906,2007,02,17
Piciformes,Dendrocopos pubescens,39.10543,2001,02,18
Passeriformes,Cardinalis cardinalis,39.5308,2000,02,18
Passeriformes,Haemorhous purpureus,41.569157,2009,02,15
Passeriformes,Quiscalus quiscula,38.738459,2007,02,19
Piciformes,Melanerpes carolinus,41.139271,2008,02,17
Passeriformes,Corvus brachyrhynchos,41.7023,2000,02,18
Passeriformes,Sialia sialis,39.99566,2008,02,18
Passeriformes,Baeolophus bicolor,39.6431,2009,02,15
Passeriformes,Sitta carolinensis,41.372917,2008,02,16
Piciformes,Dendrocopos pubescens,41.66395,2004,02,14
Passeriformes,Junco hyemalis,40.81192,2006,02,18
Passeriformes,Melospiza melodia,40.936443,2000,02,21
Columbiformes,Zenaida macroura,39.161961,2006,02,18
Passeriformes,Junco hyemalis,41.114666,2006,02,19
Passeriformes,Baeolophus bicolor,40.87586,2009,02,15
Passeriformes,Sitta carolinensis,41.666145,2001,02,16
Passeriformes,Cardinalis cardinalis,39.4381,2008,02,18
Passeriformes,Zonotrichia leucophrys,41.139271,2006,02,18
Passeriformes,Poecile carolinensis,39.26749,2003,02,17
Piciformes,Melanerpes carolinus,41.2409,2003,02,16
Passeriformes,Poecile atricapillus,41.02978,2007,02,17
Passeriformes,Corvus brachyrhynchos,40.4912,2007,02,18
Passeriformes,Poecile atricapillus,41.38408,2007,02,18
Columbiformes,Zenaida macroura,40.959,2002,02,16
Passeriformes,Baeolophus bicolor,41.7023,1999,02,20
Anseriformes,Branta canadensis,39.95501,2005,02,19
Passeriformes,Corvus brachyrhynchos,41.3061,2001,02,19
Passeriformes,Junco hyemalis,39.95652,1999,02,20
Passeriformes,Junco hyemalis,40.86166,2008,02,16
Piciformes,Dendrocopos pubescens,40.4199,2002,02,16
Passeriformes,Sturnus vulgaris,41.569157,2000,02,20
Passeriformes,Corvus brachyrhynchos,39.961026,2007,02,19
Passeriformes,Poecile atricapillus,41.2473,2008,02,16
Piciformes,Dendrocopos pubescens,40.90961,2001,02,18
Anseriformes,Branta canadensis,39.846416,2001,02,16
Piciformes,Dendrocopos pubescens,41.114666,1999,02,19
Passeriformes,Corvus brachyrhynchos,39.78604,2003,02,17
Passeriformes,Sitta carolinensis,41.583866,2008,02,15
Passeriformes,Sturnus vulgaris,39.747887,2008,02,18
Passeriformes,Passer domesticus,39.80544,1998,02,20
Passeriformes,Spinus tristis,40.782284,2009,02,16
Passeriformes,Junco hyemalis,38.90817,2005,02,21
Passeriformes,Sialia sialis,41.3906,2001,02,18
Passeriformes,Sitta canadensis,41.6758,2006,02,19
Passeriformes,Passer domesticus,41.159405,2008,02,16
Passeriformes,Turdus migratorius,38.9506,2008,02,16
Piciformes,Melanerpes carolinus,40.588661,2008,02,15
Passeriformes,Passer domesticus,40.24123,2000,02,20
Columbiformes,Zenaida macroura,39.871517,2008,02,15
Piciformes,Dendrocopos pubescens,41.027554,2002,02,17
Passeriformes,Turdus migratorius,39.31411,1999,02,19
Piciformes,Picoides villosus,41.139271,2001,02,19
Passeriformes,Junco hyemalis,40.049294,2008,02,18
Columbiformes,Zenaida macroura,40.885406,2006,02,20
Passeriformes,Turdus migratorius,40.02107,2000,02,20
Columbiformes,Zenaida macroura,39.18332,1999,02,22
Columbiformes,Columba livia,41.55398,2009,02,16
Passeriformes,Haemorhous purpureus,41.47301,2000,02,18
Passeriformes,Certhia americana,41.23616,2004,02,15
Passeriformes,Sturnus vulgaris,40.897492,2006,02,18
Passeriformes,Thryothorus ludovicianus,39.05288,2005,02,18
