class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,adult_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo bannermani,NA,Cape Verde Buzzard,730,3,1,990.5,28.8,60.7,34,41,25.33333333,49.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo brachypterus,NA,Madagascan Buzzard,NA,2,NA,511,NA,NA,NA,NA,NA,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo brachyurus,NA,Short-tailed Hawk,726.936,2,NA,495,NA,48,NA,NA,NA,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo burmanicus,NA,Himalayan Buzzard,910.202,3,1,878.25,28.8,58.5,35,36.75,25.33666667,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo buteo,NA,Common Buzzard,910.202,3,1,878.25,28.8,58.5,35,36.75,25.33666667,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo galapagoensis,NA,Galapagos Hawk,NA,2.35,NA,1163.333333,NA,NA,NA,NA,NA,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo hemilasius,NA,Upland Buzzard,726.936,3,1,1342.5,NA,79,30,45,NA,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo jamaicensis,NA,Red-tailed Hawk,730,2.75,1,1126,30.66666667,68,31,45.25,25.5,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo japonicus,NA,Eastern Buzzard,910.202,3,1,878.25,28.8,58.5,35,36.75,25.33666667,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo lagopus,NA,Rough-legged Buzzard,728.468,4,1,945.5,18.8,61.5,29.25,41,17.9,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
