class	order	family	genus	species	common_name	female_maturity_d	litter_or_clutch_size_n	litters_or_clutches_per_y	adult_body_mass_g	maximum_longevity_y	egg_mass_g	incubation_d	fledging_age_d	longevity_y	adult_svl_cm
Aves	Accipitriformes	Accipitridae	Buteo	trizonatus	Forest Buzzard	NA	2	NA	700	NA	NA	NA	NA	NA	44.5
Aves	Accipitriformes	Accipitridae	Buteo	ventralis	Rufous-tailed Hawk	NA	2	NA	1210	NA	NA	NA	NA	NA	49.5
Aves	Accipitriformes	Accipitridae	Buteogallus	aequinoctialis	Rufous Crab Hawk	NA	1	NA	693.25	NA	60	NA	NA	NA	44.5
Aves	Accipitriformes	Accipitridae	Buteogallus	anthracinus	Common Black Hawk	730	1.5	1	996	13.5	65	38.25	46.5	13.5	53
Aves	Accipitriformes	Accipitridae	Buteogallus	coronatus	Crowned Solitary Eagle	NA	1	NA	2950	NA	100	NA	NA	NA	76
Aves	Accipitriformes	Accipitridae	Buteogallus	gundlachii	Cuban Black Hawk	730	1.5	1	945	13.5	65	38.25	46.5	13.5	53
Aves	Accipitriformes	Accipitridae	Buteogallus	meridionalis	Savanna Hawk	NA	1	NA	808	NA	74.25	NA	NA	NA	55
Aves	Accipitriformes	Accipitridae	Buteogallus	schistaceus	Slate-colored Hawk	NA	NA	NA	1000	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Buteogallus	solitarius	Montane Solitary Eagle	NA	1	NA	3000	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Buteogallus	urubitinga	Great Black Hawk	NA	1.2	NA	1230	NA	79.5	NA	NA	NA	61
Aves	Accipitriformes	Accipitridae	Chelictinia	riocourii	Scissor-tailed Kite	NA	4	NA	110	NA	NA	NA	NA	NA	35.5
Aves	Accipitriformes	Accipitridae	Chondrohierax	uncinatus	Hook-billed Kite	NA	2	NA	288.75	NA	48.8	NA	NA	NA	45
Aves	Accipitriformes	Accipitridae	Chondrohierax	wilsonii	Cuban Kite	NA	2	NA	288.75	NA	48.8	NA	NA	NA	45
Aves	Accipitriformes	Accipitridae	Circaetus	beaudouini	Beaudouin's Snake Eagle	1274.436	1	1	1717.25	17.3	136	46.5	72.5	17.3	64.5
Aves	Accipitriformes	Accipitridae	Circaetus	cinerascens	Western Banded Snake Eagle	NA	1	NA	NA	NA	NA	NA	NA	NA	54
Aves	Accipitriformes	Accipitridae	Circaetus	cinereus	Brown Snake Eagle	NA	1	NA	2048	6.8	139	52.5	104.5	6.8	74.5
